Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
10477,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,15.0,60.0,40.01028111,-105.2757959
10727,DECIDUOUS,Fraxinus,americana,White Ash,20.0,35.0,40.00905505,-105.2745475
10733,DECIDUOUS,Fraxinus,americana,White Ash,25.0,50.0,40.00910648,-105.2742685
10744,DECIDUOUS,Fraxinus,americana,White Ash,20.0,50.0,40.00935528,-105.2742243
10753,DECIDUOUS,Fraxinus,americana,White Ash,15.0,30.0,40.00941602,-105.2743226
10758,DECIDUOUS,Fraxinus,americana,White Ash,18.0,30.0,40.00974216,-105.2739165
10804,DECIDUOUS,Fraxinus,americana,White Ash,15.0,35.0,40.01007221,-105.2735917
11190,DECIDUOUS,Acer,saccharum,Sugar Maple,27.0,39.0,40.00807397,-105.2724472
11200,DECIDUOUS,Quercus,coccinea,Scarlet Oak,16.0,30.0,40.00834553,-105.2726306
11212,CONIFEROUS,Picea,pungens,Blue Spruce,13.0,46.0,40.00834219,-105.272293
11671,DECIDUOUS,Celtis,occidentalis,Common Hackberry,25.0,45.0,40.00916457,-105.2738252
11626,DECIDUOUS,Fraxinus,pennsylvanica,Green Ash,22.0,50.0,40.00916518,-105.2744005
14138,DECIDUOUS,Hydrangea,paniculata,Panicle hydrangea,6.0,0.0,40.01003978,-105.2759531
14153,DECIDUOUS,Pyrus,None,Pear,6.0,6.0,40.01002545,-105.2757611
12373,DECIDUOUS,Quercus,coccinea,Scarlet Oak,45.0,68.0,40.00950969,-105.2729315
12375,DECIDUOUS,Cercis,canadensis,Redbud,20.0,30.0,40.00965439,-105.2731201
12337,CONIFEROUS,Pinus,flexilis,Limber Pine,20.0,63.0,40.0103221,-105.2721205
12339,CONIFEROUS,Juniperus,None,Juniper,20.0,35.0,40.01027595,-105.2723327
12473,DECIDUOUS,Populus,deltoides,Eastern Cotton Wood,50.0,65.0,40.00874267,-105.2731004
12484,DECIDUOUS,Celtis,occidentalis,Common Hackberry,35.0,35.0,40.00798889,-105.2730601
12492,DECIDUOUS,Quercus,robur,English Oak,10.0,24.0,40.00787166,-105.2733782
12497,DECIDUOUS,Malus,None,Apple,4.0,7.0,40.00806268,-105.274136
12616,CONIFEROUS,Picea,pungens,Blue Spruce,8.0,20.0,40.00824703,-105.2740927
12619,CONIFEROUS,Larix,None,Larch,36.0,52.0,40.0083466,-105.2749871
12620,CONIFEROUS,Pseudotsuga,menziesii,Douglas fir,12.0,50.0,40.00840935,-105.2748772
12385,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,10.0,22.0,40.00997224,-105.2721156
12399,DECIDUOUS,Celtis,occidentalis,Common Hackberry,12.0,24.0,40.01012399,-105.2730934
12903,CONIFEROUS,Abies,concolor,White Fir,8.0,20.0,40.00930434,-105.2736219
12906,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,30.0,47.0,40.00930383,-105.2757187
12915,DECIDUOUS,Acer,negundo,Boxelder Maple,25.0,40.0,40.00902238,-105.2744348
12920,DECIDUOUS,Rhamnus,cathartica,Buckthorn,8.0,12.0,40.01008056,-105.2745841
12922,CONIFEROUS,Xanthocyparis,nootkatensis,Nootka Cypress,16.0,20.0,40.00995516,-105.2739876
12930,DECIDUOUS,Crataegus,crusgalli,Cockspur Hawthorn,10.0,10.0,40.01021487,-105.2748602
12722,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,45.0,40.00805488,-105.2747423
12723,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,35.0,40.00808001,-105.2747114
12727,CONIFEROUS,Picea,pungens,Blue Spruce,20.0,60.0,40.00808182,-105.2745325
12793,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,30.0,46.0,40.00916906,-105.2721714
12796,DECIDUOUS,Acer,saccharinum,Silver Maple,58.0,85.0,40.0090205,-105.2722007
12797,DECIDUOUS,Acer,pseudoplatanus,Sycamore Maple,16.0,22.0,40.0090422,-105.2722657
12815,DECIDUOUS,Quercus,alba,White Oak,40.0,63.0,40.00931723,-105.2756707
12858,CONIFEROUS,Thuja,None,Arborvitae,14.0,30.0,40.00919211,-105.2711325
12888,CONIFEROUS,Picea,pungens,Blue Spruce,18.0,30.0,40.00918169,-105.271403
12891,CONIFEROUS,Picea,pungens,Blue Spruce,12.0,20.0,40.00901951,-105.2714277
12897,CONIFEROUS,Juniperus,None,Juniper,12.0,30.0,40.00907886,-105.2736246
12949,DECIDUOUS,Rhamnus,cathartica,Buckthorn,8.0,12.0,40.00991752,-105.2748957
12967,CONIFEROUS,Juniperus,None,Juniper,10.0,35.0,40.00964145,-105.2740006
12968,CONIFEROUS,Juniperus,None,Juniper,10.0,20.0,40.00967496,-105.2739362
13166,DECIDUOUS,Acer,saccharinum,Silver Maple,40.0,63.0,40.00972967,-105.2755487
13003,DECIDUOUS,Cercis,canadensis,Redbud,12.0,24.0,40.00749563,-105.2726005
13008,DECIDUOUS,Rhamnus,cathartica,Buckthorn,8.0,12.0,40.00714621,-105.2729251
13026,DECIDUOUS,Tilia,americana,American Linden,25.0,45.0,40.009748,-105.2734142
13027,DECIDUOUS,Populus,deltoides,Poplar,18.0,40.0,40.00951536,-105.2743826
13031,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,35.0,40.0090153,-105.2743357
13033,CONIFEROUS,Larix,None,Larch,4.0,6.0,40.00909556,-105.2742938
13036,CONIFEROUS,Abies,concolor,White Fir,8.0,30.0,40.01019404,-105.2747486
13428,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,25.0,35.0,40.00842234,-105.2741818
13436,DECIDUOUS,Ulmus,americana,American Elm,30.0,50.0,40.00840954,-105.274683
13437,DECIDUOUS,Ailanthus,None,Tree of Heaven,20.0,40.0,40.00850054,-105.2748066
13439,DECIDUOUS,Rhamnus,cathartica,Buckthorn,10.0,20.0,40.00857305,-105.2747986
13445,DECIDUOUS,Acer,palmatum,Japanese Maple,3.0,5.0,40.00873644,-105.2746358
